canary_a_table_barrier	incremental	PASS	-
canary_a_table_barrier	generational	PASS	-
canary_b_coro_upvalue	incremental	PASS	-
canary_b_coro_upvalue	generational	PASS	-
canary_c_finalizer_gen	incremental	PASS	-
canary_c_finalizer_gen	generational	PASS	-
canary_d_weak_gen	incremental	PASS	-
canary_d_weak_gen	generational	PASS	-
canary_e_mode_switch	incremental	PASS	-
canary_e_mode_switch	generational	PASS	-
canary_f_testc_gengc_age	incremental	PASS	-
canary_f_testc_gengc_age	generational	PASS	-
canary_g_testc_gcstate	incremental	PASS	-
canary_g_testc_gcstate	generational	PASS	-
canary_h_testc_warn_store	incremental	PASS	-
canary_h_testc_warn_store	generational	PASS	-
canary_i_testc_weak_finalizer_values	incremental	PASS	-
canary_i_testc_weak_finalizer_values	generational	PASS	-
canary_j_testc_sweep_uservalue_barrier	incremental	PASS	-
canary_j_testc_sweep_uservalue_barrier	generational	PASS	-
canary_k_testc_accounting	incremental	PASS	-
canary_k_testc_accounting	generational	PASS	-
canary_l_testc_minor_stats	incremental	PASS	METRIC minorstats mode=generational state=pause bytes=47591 debt=-9500 threshold=57091 allgc=257 allgcnew=0 allgcsurvival=2 allgcold1=0 allgcold=251 collections=4 minorcollections=2 fullcollections=2 weak=0 weaklive=0 weakdead=0 weakretaine
canary_l_testc_minor_stats	generational	PASS	METRIC minorstats mode=generational state=pause bytes=47591 debt=-9500 threshold=57091 allgc=257 allgcnew=0 allgcsurvival=2 allgcold1=0 allgcold=251 collections=4 minorcollections=2 fullcollections=2 weak=0 weaklive=0 weakdead=0 weakretaine
canary_m_testc_finalizer_cohorts	incremental	PASS	METRIC finalizercohorts mode=generational state=pause bytes=50225 debt=-10040 threshold=60265 allgc=266 allgcnew=1 allgcsurvival=2 allgcold1=0 allgcold=258 collections=4 minorcollections=2 fullcollections=2 weak=0 weaklive=0 weakdead=0 weak
canary_m_testc_finalizer_cohorts	generational	PASS	METRIC finalizercohorts mode=generational state=pause bytes=51505 debt=-10300 threshold=61805 allgc=266 allgcnew=1 allgcsurvival=2 allgcold1=0 allgcold=258 collections=4 minorcollections=2 fullcollections=2 weak=0 weaklive=0 weakdead=0 weak
canary_n_testc_weak_registry	incremental	PASS	METRIC weakregistry mode=generational state=pause bytes=49512 debt=-9900 threshold=59412 allgc=270 allgcnew=0 allgcsurvival=10 allgcold1=73 allgcold=183 collections=3 minorcollections=2 fullcollections=1 weak=3 weaklive=3 weakdead=0 weakret
canary_n_testc_weak_registry	generational	PASS	METRIC weakregistry mode=generational state=pause bytes=49512 debt=-9900 threshold=59412 allgc=270 allgcnew=0 allgcsurvival=10 allgcold1=73 allgcold=183 collections=3 minorcollections=2 fullcollections=1 weak=3 weaklive=3 weakdead=0 weakret
canary_o_testc_callfin_finalizers	incremental	PASS	-
canary_o_testc_callfin_finalizers	generational	PASS	-
